3ε: [0, 1, 2]
4ε: [0, 1, 3]
5ε: [0, 1, 4]
5ε: [0, 2, 3]
6ε: [0, 1, 5]
6ε: [0, 2, 4]
6ε: [1, 2, 3]
7ε: [0, 1, 6]
7ε: [0, 2, 5]
7ε: [0, 3, 4]
7ε: [1, 2, 4]
8ε: [0, 1, 7]
8ε: [0, 2, 6]
8ε: [0, 3, 5]
8ε: [1, 2, 5]
8ε: [1, 3, 4]
9ε: [0, 1, 8]
9ε: [0, 2, 7]
9ε: [0, 3, 6]
9ε: [0, 4, 5]
9ε: [1, 2, 6]
9ε: [1, 3, 5]
9ε: [2, 3, 4]
10ε: [0, 1, 9]
10ε: [0, 2, 8]
10ε: [0, 3, 7]
10ε: [0, 4, 6]
10ε: [1, 2, 7]
10ε: [1, 3, 6]
10ε: [1, 4, 5]
10ε: [2, 3, 5]
11ε: [0, 1, 10]
11ε: [0, 2, 9]
11ε: [0, 3, 8]
11ε: [0, 4, 7]
11ε: [0, 5, 6]
11ε: [1, 2, 8]
11ε: [1, 3, 7]
11ε: [1, 4, 6]
11ε: [2, 3, 6]
11ε: [2, 4, 5]
12ε: [0, 1, 11]
12ε: [0, 2, 10]
12ε: [0, 3, 9]
12ε: [0, 4, 8]
12ε: [0, 5, 7]
12ε: [1, 2, 9]
12ε: [1, 3, 8]
12ε: [1, 4, 7]
12ε: [1, 5, 6]
12ε: [2, 3, 7]
12ε: [2, 4, 6]
12ε: [3, 4, 5]
13ε: [0, 1, 12]
13ε: [0, 2, 11]
13ε: [0, 3, 10]
13ε: [0, 4, 9]
13ε: [0, 5, 8]
13ε: [0, 6, 7]
13ε: [1, 2, 10]
13ε: [1, 3, 9]
13ε: [1, 4, 8]
13ε: [1, 5, 7]
13ε: [2, 3, 8]
13ε: [2, 4, 7]
13ε: [2, 5, 6]
13ε: [3, 4, 6]
