score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9]
45, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
46, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10
47, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11
47, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10
48, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12
48, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11
48, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10
49, 0, 1, 2, 3, 4, 5, 6, 7, 8, 13
49, 0, 1, 2, 3, 4, 5, 6, 7, 9, 12
49, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11
49, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11
49, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10
50, 0, 1, 2, 3, 4, 5, 6, 7, 8, 14
50, 0, 1, 2, 3, 4, 5, 6, 7, 9, 13
50, 0, 1, 2, 3, 4, 5, 6, 7, 10, 12
50, 0, 1, 2, 3, 4, 5, 6, 8, 9, 12
50, 0, 1, 2, 3, 4, 5, 6, 8, 10, 11
50, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11
50, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10
51, 0, 1, 2, 3, 4, 5, 6, 7, 8, 15
51, 0, 1, 2, 3, 4, 5, 6, 7, 9, 14
51, 0, 1, 2, 3, 4, 5, 6, 7, 10, 13
51, 0, 1, 2, 3, 4, 5, 6, 7, 11, 12
51, 0, 1, 2, 3, 4, 5, 6, 8, 9, 13
51, 0, 1, 2, 3, 4, 5, 6, 8, 10, 12
51, 0, 1, 2, 3, 4, 5, 6, 9, 10, 11
51, 0, 1, 2, 3, 4, 5, 7, 8, 9, 12
51, 0, 1, 2, 3, 4, 5, 7, 8, 10, 11
51, 0, 1, 2, 3, 4, 6, 7, 8, 9, 11
51, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10
52, 0, 1, 2, 3, 4, 5, 6, 7, 8, 16
52, 0, 1, 2, 3, 4, 5, 6, 7, 9, 15
52, 0, 1, 2, 3, 4, 5, 6, 7, 10, 14
52, 0, 1, 2, 3, 4, 5, 6, 7, 11, 13
52, 0, 1, 2, 3, 4, 5, 6, 8, 9, 14
52, 0, 1, 2, 3, 4, 5, 6, 8, 10, 13
52, 0, 1, 2, 3, 4, 5, 6, 8, 11, 12
52, 0, 1, 2, 3, 4, 5, 6, 9, 10, 12
52, 0, 1, 2, 3, 4, 5, 7, 8, 9, 13
52, 0, 1, 2, 3, 4, 5, 7, 8, 10, 12
52, 0, 1, 2, 3, 4, 5, 7, 9, 10, 11
52, 0, 1, 2, 3, 4, 6, 7, 8, 9, 12
52, 0, 1, 2, 3, 4, 6, 7, 8, 10, 11
52, 0, 1, 2, 3, 5, 6, 7, 8, 9, 11
52, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10
53, 0, 1, 2, 3, 4, 5, 6, 7, 8, 17
53, 0, 1, 2, 3, 4, 5, 6, 7, 9, 16
53, 0, 1, 2, 3, 4, 5, 6, 7, 10, 15
53, 0, 1, 2, 3, 4, 5, 6, 7, 11, 14
53, 0, 1, 2, 3, 4, 5, 6, 7, 12, 13
53, 0, 1, 2, 3, 4, 5, 6, 8, 9, 15
53, 0, 1, 2, 3, 4, 5, 6, 8, 10, 14
53, 0, 1, 2, 3, 4, 5, 6, 8, 11, 13
53, 0, 1, 2, 3, 4, 5, 6, 9, 10, 13
53, 0, 1, 2, 3, 4, 5, 6, 9, 11, 12
53, 0, 1, 2, 3, 4, 5, 7, 8, 9, 14
53, 0, 1, 2, 3, 4, 5, 7, 8, 10, 13
53, 0, 1, 2, 3, 4, 5, 7, 8, 11, 12
53, 0, 1, 2, 3, 4, 5, 7, 9, 10, 12
53, 0, 1, 2, 3, 4, 5, 8, 9, 10, 11
53, 0, 1, 2, 3, 4, 6, 7, 8, 9, 13
53, 0, 1, 2, 3, 4, 6, 7, 8, 10, 12
53, 0, 1, 2, 3, 4, 6, 7, 9, 10, 11
53, 0, 1, 2, 3, 5, 6, 7, 8, 9, 12
53, 0, 1, 2, 3, 5, 6, 7, 8, 10, 11
53, 0, 1, 2, 4, 5, 6, 7, 8, 9, 11
53, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10
54, 0, 1, 2, 3, 4, 5, 6, 7, 8, 18
54, 0, 1, 2, 3, 4, 5, 6, 7, 9, 17
54, 0, 1, 2, 3, 4, 5, 6, 7, 10, 16
54, 0, 1, 2, 3, 4, 5, 6, 7, 11, 15
54, 0, 1, 2, 3, 4, 5, 6, 7, 12, 14
54, 0, 1, 2, 3, 4, 5, 6, 8, 9, 16
54, 0, 1, 2, 3, 4, 5, 6, 8, 10, 15
54, 0, 1, 2, 3, 4, 5, 6, 8, 11, 14
54, 0, 1, 2, 3, 4, 5, 6, 8, 12, 13
54, 0, 1, 2, 3, 4, 5, 6, 9, 10, 14
54, 0, 1, 2, 3, 4, 5, 6, 9, 11, 13
54, 0, 1, 2, 3, 4, 5, 6, 10, 11, 12
54, 0, 1, 2, 3, 4, 5, 7, 8, 9, 15
54, 0, 1, 2, 3, 4, 5, 7, 8, 10, 14
54, 0, 1, 2, 3, 4, 5, 7, 8, 11, 13
54, 0, 1, 2, 3, 4, 5, 7, 9, 10, 13
54, 0, 1, 2, 3, 4, 5, 7, 9, 11, 12
54, 0, 1, 2, 3, 4, 5, 8, 9, 10, 12
54, 0, 1, 2, 3, 4, 6, 7, 8, 9, 14
54, 0, 1, 2, 3, 4, 6, 7, 8, 10, 13
54, 0, 1, 2, 3, 4, 6, 7, 8, 11, 12
54, 0, 1, 2, 3, 4, 6, 7, 9, 10, 12
54, 0, 1, 2, 3, 4, 6, 8, 9, 10, 11
54, 0, 1, 2, 3, 5, 6, 7, 8, 9, 13
54, 0, 1, 2, 3, 5, 6, 7, 8, 10, 12
54, 0, 1, 2, 3, 5, 6, 7, 9, 10, 11
54, 0, 1, 2, 4, 5, 6, 7, 8, 9, 12
54, 0, 1, 2, 4, 5, 6, 7, 8, 10, 11
54, 0, 1, 3, 4, 5, 6, 7, 8, 9, 11
54, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10
55, 0, 1, 2, 3, 4, 5, 6, 7, 8, 19
55, 0, 1, 2, 3, 4, 5, 6, 7, 9, 18
55, 0, 1, 2, 3, 4, 5, 6, 7, 10, 17
55, 0, 1, 2, 3, 4, 5, 6, 7, 11, 16
55, 0, 1, 2, 3, 4, 5, 6, 7, 12, 15
55, 0, 1, 2, 3, 4, 5, 6, 7, 13, 14
55, 0, 1, 2, 3, 4, 5, 6, 8, 9, 17
55, 0, 1, 2, 3, 4, 5, 6, 8, 10, 16
55, 0, 1, 2, 3, 4, 5, 6, 8, 11, 15
55, 0, 1, 2, 3, 4, 5, 6, 8, 12, 14
55, 0, 1, 2, 3, 4, 5, 6, 9, 10, 15
55, 0, 1, 2, 3, 4, 5, 6, 9, 11, 14
55, 0, 1, 2, 3, 4, 5, 6, 9, 12, 13
55, 0, 1, 2, 3, 4, 5, 6, 10, 11, 13
55, 0, 1, 2, 3, 4, 5, 7, 8, 9, 16
55, 0, 1, 2, 3, 4, 5, 7, 8, 10, 15
55, 0, 1, 2, 3, 4, 5, 7, 8, 11, 14
55, 0, 1, 2, 3, 4, 5, 7, 8, 12, 13
55, 0, 1, 2, 3, 4, 5, 7, 9, 10, 14
55, 0, 1, 2, 3, 4, 5, 7, 9, 11, 13
55, 0, 1, 2, 3, 4, 5, 7, 10, 11, 12
55, 0, 1, 2, 3, 4, 5, 8, 9, 10, 13
55, 0, 1, 2, 3, 4, 5, 8, 9, 11, 12
55, 0, 1, 2, 3, 4, 6, 7, 8, 9, 15
55, 0, 1, 2, 3, 4, 6, 7, 8, 10, 14
55, 0, 1, 2, 3, 4, 6, 7, 8, 11, 13
55, 0, 1, 2, 3, 4, 6, 7, 9, 10, 13
55, 0, 1, 2, 3, 4, 6, 7, 9, 11, 12
55, 0, 1, 2, 3, 4, 6, 8, 9, 10, 12
55, 0, 1, 2, 3, 4, 7, 8, 9, 10, 11
55, 0, 1, 2, 3, 5, 6, 7, 8, 9, 14
55, 0, 1, 2, 3, 5, 6, 7, 8, 10, 13
55, 0, 1, 2, 3, 5, 6, 7, 8, 11, 12
55, 0, 1, 2, 3, 5, 6, 7, 9, 10, 12
55, 0, 1, 2, 3, 5, 6, 8, 9, 10, 11
55, 0, 1, 2, 4, 5, 6, 7, 8, 9, 13
55, 0, 1, 2, 4, 5, 6, 7, 8, 10, 12
55, 0, 1, 2, 4, 5, 6, 7, 9, 10, 11
55, 0, 1, 3, 4, 5, 6, 7, 8, 9, 12
55, 0, 1, 3, 4, 5, 6, 7, 8, 10, 11
55, 0, 2, 3, 4, 5, 6, 7, 8, 9, 11
55, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
56, 0, 1, 2, 3, 4, 5, 6, 7, 8, 20
56, 0, 1, 2, 3, 4, 5, 6, 7, 9, 19
56, 0, 1, 2, 3, 4, 5, 6, 7, 10, 18
56, 0, 1, 2, 3, 4, 5, 6, 7, 11, 17
56, 0, 1, 2, 3, 4, 5, 6, 7, 12, 16
56, 0, 1, 2, 3, 4, 5, 6, 7, 13, 15
56, 0, 1, 2, 3, 4, 5, 6, 8, 9, 18
56, 0, 1, 2, 3, 4, 5, 6, 8, 10, 17
56, 0, 1, 2, 3, 4, 5, 6, 8, 11, 16
56, 0, 1, 2, 3, 4, 5, 6, 8, 12, 15
56, 0, 1, 2, 3, 4, 5, 6, 8, 13, 14
56, 0, 1, 2, 3, 4, 5, 6, 9, 10, 16
56, 0, 1, 2, 3, 4, 5, 6, 9, 11, 15
56, 0, 1, 2, 3, 4, 5, 6, 9, 12, 14
56, 0, 1, 2, 3, 4, 5, 6, 10, 11, 14
56, 0, 1, 2, 3, 4, 5, 6, 10, 12, 13
56, 0, 1, 2, 3, 4, 5, 7, 8, 9, 17
56, 0, 1, 2, 3, 4, 5, 7, 8, 10, 16
56, 0, 1, 2, 3, 4, 5, 7, 8, 11, 15
56, 0, 1, 2, 3, 4, 5, 7, 8, 12, 14
56, 0, 1, 2, 3, 4, 5, 7, 9, 10, 15
56, 0, 1, 2, 3, 4, 5, 7, 9, 11, 14
56, 0, 1, 2, 3, 4, 5, 7, 9, 12, 13
56, 0, 1, 2, 3, 4, 5, 7, 10, 11, 13
56, 0, 1, 2, 3, 4, 5, 8, 9, 10, 14
56, 0, 1, 2, 3, 4, 5, 8, 9, 11, 13
56, 0, 1, 2, 3, 4, 5, 8, 10, 11, 12
56, 0, 1, 2, 3, 4, 6, 7, 8, 9, 16
56, 0, 1, 2, 3, 4, 6, 7, 8, 10, 15
56, 0, 1, 2, 3, 4, 6, 7, 8, 11, 14
56, 0, 1, 2, 3, 4, 6, 7, 8, 12, 13
56, 0, 1, 2, 3, 4, 6, 7, 9, 10, 14
56, 0, 1, 2, 3, 4, 6, 7, 9, 11, 13
56, 0, 1, 2, 3, 4, 6, 7, 10, 11, 12
56, 0, 1, 2, 3, 4, 6, 8, 9, 10, 13
56, 0, 1, 2, 3, 4, 6, 8, 9, 11, 12
