score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9], v[10], v[11]
66, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
67, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12
68, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13
68, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12
69, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14
69, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13
69, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12
70, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15
70, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14
70, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13
70, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13
70, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12
71, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16
71, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15
71, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 14
71, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14
71, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13
71, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13
71, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12
72, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 17
72, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 16
72, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 15
72, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14
72, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 15
72, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14
72, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13
72, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 14
72, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13
72, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13
72, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 17
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 16
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 15
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 16
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 15
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14
73, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 14
73, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 15
73, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 14
73, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13
73, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 14
73, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13
73, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13
73, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 19
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 18
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 16
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 17
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 16
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15
74, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14
74, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 16
74, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 15
74, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 14
74, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 14
74, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13
74, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 15
74, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 14
74, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13
74, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 14
74, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13
74, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13
74, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 20
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 19
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 18
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 17
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 16
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 18
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 17
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 16
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 15
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 16
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 15
75, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 14
75, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 17
75, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 16
75, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 15
75, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 15
75, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 14
75, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14
75, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 16
75, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15
75, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14
75, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 14
75, 0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13
75, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 15
75, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 14
75, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13
75, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 14
75, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13
75, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13
75, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 21
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 20
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 19
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 18
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 17
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 16
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 19
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 18
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 17
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 16
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 17
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 16
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15
76, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 15
76, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 18
76, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 17
76, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 16
76, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 15
76, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 16
76, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 15
76, 0, 1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 14
76, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 15
76, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 13, 14
76, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 17
76, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 16
76, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 15
76, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 15
76, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 13, 14
76, 0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14
76, 0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13
76, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 16
76, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 15
76, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 14
76, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 14
76, 0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13
76, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 15
76, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14
76, 0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13
76, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 14
76, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13
76, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13
76, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
