score, v[0], v[1], v[2]
1, 0, 1, 2
1, 0, 1, 3
2, 0, 1, 4
2, 0, 1, 5
2, 0, 2, 3
2, 1, 2, 3
3, 0, 1, 6
3, 0, 1, 7
3, 0, 2, 4
3, 0, 2, 5
3, 0, 3, 4
3, 0, 3, 5
3, 1, 2, 4
3, 1, 2, 5
3, 1, 3, 4
3, 1, 3, 5
4, 0, 1, 8
4, 0, 1, 9
4, 0, 2, 6
4, 0, 2, 7
4, 0, 3, 6
4, 0, 3, 7
4, 0, 4, 5
4, 1, 2, 6
4, 1, 2, 7
4, 1, 3, 6
4, 1, 3, 7
4, 1, 4, 5
4, 2, 3, 4
4, 2, 3, 5
5, 0, 1, 10
5, 0, 1, 11
5, 0, 2, 8
5, 0, 2, 9
5, 0, 3, 8
5, 0, 3, 9
5, 0, 4, 6
5, 0, 4, 7
5, 0, 5, 6
5, 0, 5, 7
5, 1, 2, 8
5, 1, 2, 9
5, 1, 3, 8
5, 1, 3, 9
5, 1, 4, 6
5, 1, 4, 7
5, 1, 5, 6
5, 1, 5, 7
5, 2, 3, 6
5, 2, 3, 7
5, 2, 4, 5
5, 3, 4, 5
6, 0, 1, 12
6, 0, 1, 13
6, 0, 2, 10
6, 0, 2, 11
6, 0, 3, 10
6, 0, 3, 11
6, 0, 4, 8
6, 0, 4, 9
6, 0, 5, 8
6, 0, 5, 9
6, 0, 6, 7
6, 1, 2, 10
6, 1, 2, 11
6, 1, 3, 10
6, 1, 3, 11
6, 1, 4, 8
6, 1, 4, 9
6, 1, 5, 8
6, 1, 5, 9
6, 1, 6, 7
6, 2, 3, 8
6, 2, 3, 9
6, 2, 4, 6
6, 2, 4, 7
6, 2, 5, 6
6, 2, 5, 7
6, 3, 4, 6
6, 3, 4, 7
6, 3, 5, 6
6, 3, 5, 7
7, 0, 1, 14
7, 0, 1, 15
7, 0, 2, 12
7, 0, 2, 13
7, 0, 3, 12
7, 0, 3, 13
7, 0, 4, 10
7, 0, 4, 11
7, 0, 5, 10
7, 0, 5, 11
7, 0, 6, 8
7, 0, 6, 9
7, 0, 7, 8
7, 0, 7, 9
7, 1, 2, 12
7, 1, 2, 13
7, 1, 3, 12
7, 1, 3, 13
7, 1, 4, 10
7, 1, 4, 11
7, 1, 5, 10
7, 1, 5, 11
7, 1, 6, 8
7, 1, 6, 9
7, 1, 7, 8
7, 1, 7, 9
7, 2, 3, 10
7, 2, 3, 11
7, 2, 4, 8
7, 2, 4, 9
7, 2, 5, 8
7, 2, 5, 9
7, 2, 6, 7
7, 3, 4, 8
7, 3, 4, 9
7, 3, 5, 8
7, 3, 5, 9
7, 3, 6, 7
7, 4, 5, 6
7, 4, 5, 7
