score, v[0], v[1], v[2], v[3]
6, 0, 1, 2, 3
7, 0, 1, 2, 4
8, 0, 1, 2, 5
8, 0, 1, 3, 4
9, 0, 1, 2, 6
9, 0, 1, 3, 5
9, 0, 2, 3, 4
10, 0, 1, 2, 7
10, 0, 1, 3, 6
10, 0, 1, 4, 5
10, 0, 2, 3, 5
10, 1, 2, 3, 4
11, 0, 1, 2, 8
11, 0, 1, 3, 7
11, 0, 1, 4, 6
11, 0, 2, 3, 6
11, 0, 2, 4, 5
11, 1, 2, 3, 5
12, 0, 1, 2, 9
12, 0, 1, 3, 8
12, 0, 1, 4, 7
12, 0, 1, 5, 6
12, 0, 2, 3, 7
12, 0, 2, 4, 6
12, 0, 3, 4, 5
12, 1, 2, 3, 6
12, 1, 2, 4, 5
13, 0, 1, 2, 10
13, 0, 1, 3, 9
13, 0, 1, 4, 8
13, 0, 1, 5, 7
13, 0, 2, 3, 8
13, 0, 2, 4, 7
13, 0, 2, 5, 6
13, 0, 3, 4, 6
13, 1, 2, 3, 7
13, 1, 2, 4, 6
13, 1, 3, 4, 5
14, 0, 1, 2, 11
14, 0, 1, 3, 10
14, 0, 1, 4, 9
14, 0, 1, 5, 8
14, 0, 1, 6, 7
14, 0, 2, 3, 9
14, 0, 2, 4, 8
14, 0, 2, 5, 7
14, 0, 3, 4, 7
14, 0, 3, 5, 6
14, 1, 2, 3, 8
14, 1, 2, 4, 7
14, 1, 2, 5, 6
14, 1, 3, 4, 6
14, 2, 3, 4, 5
15, 0, 1, 2, 12
15, 0, 1, 3, 11
15, 0, 1, 4, 10
15, 0, 1, 5, 9
15, 0, 1, 6, 8
15, 0, 2, 3, 10
15, 0, 2, 4, 9
15, 0, 2, 5, 8
15, 0, 2, 6, 7
15, 0, 3, 4, 8
15, 0, 3, 5, 7
15, 0, 4, 5, 6
15, 1, 2, 3, 9
15, 1, 2, 4, 8
15, 1, 2, 5, 7
15, 1, 3, 4, 7
15, 1, 3, 5, 6
15, 2, 3, 4, 6
16, 0, 1, 2, 13
16, 0, 1, 3, 12
16, 0, 1, 4, 11
16, 0, 1, 5, 10
16, 0, 1, 6, 9
16, 0, 1, 7, 8
16, 0, 2, 3, 11
16, 0, 2, 4, 10
16, 0, 2, 5, 9
16, 0, 2, 6, 8
16, 0, 3, 4, 9
16, 0, 3, 5, 8
16, 0, 3, 6, 7
16, 0, 4, 5, 7
16, 1, 2, 3, 10
16, 1, 2, 4, 9
16, 1, 2, 5, 8
16, 1, 2, 6, 7
16, 1, 3, 4, 8
16, 1, 3, 5, 7
16, 1, 4, 5, 6
16, 2, 3, 4, 7
16, 2, 3, 5, 6
17, 0, 1, 2, 14
17, 0, 1, 3, 13
17, 0, 1, 4, 12
17, 0, 1, 5, 11
17, 0, 1, 6, 10
17, 0, 1, 7, 9
17, 0, 2, 3, 12
17, 0, 2, 4, 11
17, 0, 2, 5, 10
17, 0, 2, 6, 9
17, 0, 2, 7, 8
17, 0, 3, 4, 10
17, 0, 3, 5, 9
17, 0, 3, 6, 8
17, 0, 4, 5, 8
17, 0, 4, 6, 7
17, 1, 2, 3, 11
17, 1, 2, 4, 10
17, 1, 2, 5, 9
17, 1, 2, 6, 8
17, 1, 3, 4, 9
17, 1, 3, 5, 8
17, 1, 3, 6, 7
17, 1, 4, 5, 7
17, 2, 3, 4, 8
17, 2, 3, 5, 7
17, 2, 4, 5, 6
18, 0, 1, 2, 15
18, 0, 1, 3, 14
18, 0, 1, 4, 13
18, 0, 1, 5, 12
18, 0, 1, 6, 11
18, 0, 1, 7, 10
18, 0, 1, 8, 9
18, 0, 2, 3, 13
18, 0, 2, 4, 12
18, 0, 2, 5, 11
18, 0, 2, 6, 10
18, 0, 2, 7, 9
18, 0, 3, 4, 11
18, 0, 3, 5, 10
18, 0, 3, 6, 9
18, 0, 3, 7, 8
18, 0, 4, 5, 9
18, 0, 4, 6, 8
18, 0, 5, 6, 7
18, 1, 2, 3, 12
18, 1, 2, 4, 11
18, 1, 2, 5, 10
18, 1, 2, 6, 9
18, 1, 2, 7, 8
18, 1, 3, 4, 10
18, 1, 3, 5, 9
18, 1, 3, 6, 8
18, 1, 4, 5, 8
18, 1, 4, 6, 7
18, 2, 3, 4, 9
18, 2, 3, 5, 8
18, 2, 3, 6, 7
18, 2, 4, 5, 7
18, 3, 4, 5, 6
19, 0, 1, 2, 16
19, 0, 1, 3, 15
19, 0, 1, 4, 14
19, 0, 1, 5, 13
19, 0, 1, 6, 12
19, 0, 1, 7, 11
19, 0, 1, 8, 10
19, 0, 2, 3, 14
19, 0, 2, 4, 13
19, 0, 2, 5, 12
19, 0, 2, 6, 11
19, 0, 2, 7, 10
19, 0, 2, 8, 9
19, 0, 3, 4, 12
19, 0, 3, 5, 11
19, 0, 3, 6, 10
19, 0, 3, 7, 9
19, 0, 4, 5, 10
19, 0, 4, 6, 9
19, 0, 4, 7, 8
19, 0, 5, 6, 8
19, 1, 2, 3, 13
19, 1, 2, 4, 12
19, 1, 2, 5, 11
19, 1, 2, 6, 10
19, 1, 2, 7, 9
19, 1, 3, 4, 11
19, 1, 3, 5, 10
19, 1, 3, 6, 9
19, 1, 3, 7, 8
19, 1, 4, 5, 9
19, 1, 4, 6, 8
19, 1, 5, 6, 7
19, 2, 3, 4, 10
19, 2, 3, 5, 9
19, 2, 3, 6, 8
19, 2, 4, 5, 8
19, 2, 4, 6, 7
19, 3, 4, 5, 7
20, 0, 1, 2, 17
20, 0, 1, 3, 16
20, 0, 1, 4, 15
20, 0, 1, 5, 14
20, 0, 1, 6, 13
20, 0, 1, 7, 12
20, 0, 1, 8, 11
20, 0, 1, 9, 10
20, 0, 2, 3, 15
20, 0, 2, 4, 14
20, 0, 2, 5, 13
20, 0, 2, 6, 12
20, 0, 2, 7, 11
20, 0, 2, 8, 10
20, 0, 3, 4, 13
20, 0, 3, 5, 12
20, 0, 3, 6, 11
20, 0, 3, 7, 10
20, 0, 3, 8, 9
20, 0, 4, 5, 11
20, 0, 4, 6, 10
20, 0, 4, 7, 9
20, 0, 5, 6, 9
20, 0, 5, 7, 8
20, 1, 2, 3, 14
20, 1, 2, 4, 13
20, 1, 2, 5, 12
20, 1, 2, 6, 11
20, 1, 2, 7, 10
20, 1, 2, 8, 9
20, 1, 3, 4, 12
20, 1, 3, 5, 11
20, 1, 3, 6, 10
20, 1, 3, 7, 9
20, 1, 4, 5, 10
20, 1, 4, 6, 9
20, 1, 4, 7, 8
20, 1, 5, 6, 8
20, 2, 3, 4, 11
20, 2, 3, 5, 10
20, 2, 3, 6, 9
20, 2, 3, 7, 8
20, 2, 4, 5, 9
20, 2, 4, 6, 8
20, 2, 5, 6, 7
20, 3, 4, 5, 8
20, 3, 4, 6, 7
21, 0, 1, 2, 18
21, 0, 1, 3, 17
21, 0, 1, 4, 16
21, 0, 1, 5, 15
21, 0, 1, 6, 14
21, 0, 1, 7, 13
21, 0, 1, 8, 12
21, 0, 1, 9, 11
21, 0, 2, 3, 16
21, 0, 2, 4, 15
21, 0, 2, 5, 14
21, 0, 2, 6, 13
21, 0, 2, 7, 12
21, 0, 2, 8, 11
21, 0, 2, 9, 10
21, 0, 3, 4, 14
21, 0, 3, 5, 13
21, 0, 3, 6, 12
21, 0, 3, 7, 11
21, 0, 3, 8, 10
21, 0, 4, 5, 12
21, 0, 4, 6, 11
21, 0, 4, 7, 10
21, 0, 4, 8, 9
21, 0, 5, 6, 10
21, 0, 5, 7, 9
21, 0, 6, 7, 8
21, 1, 2, 3, 15
21, 1, 2, 4, 14
21, 1, 2, 5, 13
21, 1, 2, 6, 12
21, 1, 2, 7, 11
21, 1, 2, 8, 10
21, 1, 3, 4, 13
21, 1, 3, 5, 12
21, 1, 3, 6, 11
21, 1, 3, 7, 10
21, 1, 3, 8, 9
21, 1, 4, 5, 11
21, 1, 4, 6, 10
21, 1, 4, 7, 9
21, 1, 5, 6, 9
21, 1, 5, 7, 8
21, 2, 3, 4, 12
21, 2, 3, 5, 11
21, 2, 3, 6, 10
21, 2, 3, 7, 9
21, 2, 4, 5, 10
21, 2, 4, 6, 9
21, 2, 4, 7, 8
21, 2, 5, 6, 8
21, 3, 4, 5, 9
21, 3, 4, 6, 8
21, 3, 5, 6, 7
22, 0, 1, 2, 19
22, 0, 1, 3, 18
22, 0, 1, 4, 17
22, 0, 1, 5, 16
22, 0, 1, 6, 15
22, 0, 1, 7, 14
22, 0, 1, 8, 13
22, 0, 1, 9, 12
22, 0, 1, 10, 11
22, 0, 2, 3, 17
22, 0, 2, 4, 16
22, 0, 2, 5, 15
22, 0, 2, 6, 14
22, 0, 2, 7, 13
22, 0, 2, 8, 12
22, 0, 2, 9, 11
22, 0, 3, 4, 15
22, 0, 3, 5, 14
22, 0, 3, 6, 13
22, 0, 3, 7, 12
22, 0, 3, 8, 11
22, 0, 3, 9, 10
22, 0, 4, 5, 13
22, 0, 4, 6, 12
22, 0, 4, 7, 11
22, 0, 4, 8, 10
22, 0, 5, 6, 11
22, 0, 5, 7, 10
22, 0, 5, 8, 9
22, 0, 6, 7, 9
22, 1, 2, 3, 16
22, 1, 2, 4, 15
22, 1, 2, 5, 14
22, 1, 2, 6, 13
22, 1, 2, 7, 12
22, 1, 2, 8, 11
22, 1, 2, 9, 10
22, 1, 3, 4, 14
22, 1, 3, 5, 13
22, 1, 3, 6, 12
22, 1, 3, 7, 11
22, 1, 3, 8, 10
22, 1, 4, 5, 12
22, 1, 4, 6, 11
22, 1, 4, 7, 10
22, 1, 4, 8, 9
22, 1, 5, 6, 10
22, 1, 5, 7, 9
22, 1, 6, 7, 8
22, 2, 3, 4, 13
22, 2, 3, 5, 12
22, 2, 3, 6, 11
22, 2, 3, 7, 10
22, 2, 3, 8, 9
22, 2, 4, 5, 11
22, 2, 4, 6, 10
22, 2, 4, 7, 9
22, 2, 5, 6, 9
22, 2, 5, 7, 8
22, 3, 4, 5, 10
22, 3, 4, 6, 9
22, 3, 4, 7, 8
22, 3, 5, 6, 8
22, 4, 5, 6, 7
23, 0, 1, 2, 20
23, 0, 1, 3, 19
23, 0, 1, 4, 18
23, 0, 1, 5, 17
23, 0, 1, 6, 16
23, 0, 1, 7, 15
23, 0, 1, 8, 14
23, 0, 1, 9, 13
23, 0, 1, 10, 12
23, 0, 2, 3, 18
23, 0, 2, 4, 17
23, 0, 2, 5, 16
23, 0, 2, 6, 15
23, 0, 2, 7, 14
23, 0, 2, 8, 13
23, 0, 2, 9, 12
23, 0, 2, 10, 11
23, 0, 3, 4, 16
23, 0, 3, 5, 15
23, 0, 3, 6, 14
23, 0, 3, 7, 13
23, 0, 3, 8, 12
23, 0, 3, 9, 11
23, 0, 4, 5, 14
23, 0, 4, 6, 13
23, 0, 4, 7, 12
23, 0, 4, 8, 11
23, 0, 4, 9, 10
23, 0, 5, 6, 12
23, 0, 5, 7, 11
23, 0, 5, 8, 10
23, 0, 6, 7, 10
23, 0, 6, 8, 9
23, 1, 2, 3, 17
23, 1, 2, 4, 16
23, 1, 2, 5, 15
23, 1, 2, 6, 14
23, 1, 2, 7, 13
23, 1, 2, 8, 12
23, 1, 2, 9, 11
23, 1, 3, 4, 15
23, 1, 3, 5, 14
23, 1, 3, 6, 13
23, 1, 3, 7, 12
23, 1, 3, 8, 11
23, 1, 3, 9, 10
23, 1, 4, 5, 13
23, 1, 4, 6, 12
23, 1, 4, 7, 11
23, 1, 4, 8, 10
23, 1, 5, 6, 11
23, 1, 5, 7, 10
23, 1, 5, 8, 9
23, 1, 6, 7, 9
23, 2, 3, 4, 14
23, 2, 3, 5, 13
23, 2, 3, 6, 12
23, 2, 3, 7, 11
23, 2, 3, 8, 10
23, 2, 4, 5, 12
23, 2, 4, 6, 11
23, 2, 4, 7, 10
23, 2, 4, 8, 9
23, 2, 5, 6, 10
23, 2, 5, 7, 9
23, 2, 6, 7, 8
23, 3, 4, 5, 11
23, 3, 4, 6, 10
23, 3, 4, 7, 9
23, 3, 5, 6, 9
23, 3, 5, 7, 8
23, 4, 5, 6, 8
24, 0, 1, 2, 21
24, 0, 1, 3, 20
24, 0, 1, 4, 19
24, 0, 1, 5, 18
24, 0, 1, 6, 17
24, 0, 1, 7, 16
24, 0, 1, 8, 15
24, 0, 1, 9, 14
24, 0, 1, 10, 13
24, 0, 1, 11, 12
24, 0, 2, 3, 19
24, 0, 2, 4, 18
24, 0, 2, 5, 17
24, 0, 2, 6, 16
24, 0, 2, 7, 15
24, 0, 2, 8, 14
24, 0, 2, 9, 13
24, 0, 2, 10, 12
24, 0, 3, 4, 17
24, 0, 3, 5, 16
24, 0, 3, 6, 15
24, 0, 3, 7, 14
24, 0, 3, 8, 13
24, 0, 3, 9, 12
24, 0, 3, 10, 11
24, 0, 4, 5, 15
24, 0, 4, 6, 14
24, 0, 4, 7, 13
24, 0, 4, 8, 12
24, 0, 4, 9, 11
24, 0, 5, 6, 13
24, 0, 5, 7, 12
24, 0, 5, 8, 11
24, 0, 5, 9, 10
24, 0, 6, 7, 11
24, 0, 6, 8, 10
24, 0, 7, 8, 9
24, 1, 2, 3, 18
24, 1, 2, 4, 17
24, 1, 2, 5, 16
24, 1, 2, 6, 15
24, 1, 2, 7, 14
24, 1, 2, 8, 13
24, 1, 2, 9, 12
24, 1, 2, 10, 11
24, 1, 3, 4, 16
24, 1, 3, 5, 15
24, 1, 3, 6, 14
24, 1, 3, 7, 13
24, 1, 3, 8, 12
24, 1, 3, 9, 11
24, 1, 4, 5, 14
24, 1, 4, 6, 13
24, 1, 4, 7, 12
24, 1, 4, 8, 11
24, 1, 4, 9, 10
24, 1, 5, 6, 12
24, 1, 5, 7, 11
24, 1, 5, 8, 10
24, 1, 6, 7, 10
24, 1, 6, 8, 9
24, 2, 3, 4, 15
24, 2, 3, 5, 14
24, 2, 3, 6, 13
24, 2, 3, 7, 12
24, 2, 3, 8, 11
24, 2, 3, 9, 10
24, 2, 4, 5, 13
24, 2, 4, 6, 12
24, 2, 4, 7, 11
24, 2, 4, 8, 10
24, 2, 5, 6, 11
24, 2, 5, 7, 10
24, 2, 5, 8, 9
24, 2, 6, 7, 9
24, 3, 4, 5, 12
24, 3, 4, 6, 11
24, 3, 4, 7, 10
24, 3, 4, 8, 9
24, 3, 5, 6, 10
24, 3, 5, 7, 9
24, 3, 6, 7, 8
24, 4, 5, 6, 9
24, 4, 5, 7, 8
25, 0, 1, 2, 22
25, 0, 1, 3, 21
25, 0, 1, 4, 20
25, 0, 1, 5, 19
25, 0, 1, 6, 18
25, 0, 1, 7, 17
25, 0, 1, 8, 16
25, 0, 1, 9, 15
25, 0, 1, 10, 14
25, 0, 1, 11, 13
25, 0, 2, 3, 20
25, 0, 2, 4, 19
25, 0, 2, 5, 18
25, 0, 2, 6, 17
25, 0, 2, 7, 16
25, 0, 2, 8, 15
25, 0, 2, 9, 14
25, 0, 2, 10, 13
25, 0, 2, 11, 12
25, 0, 3, 4, 18
25, 0, 3, 5, 17
25, 0, 3, 6, 16
25, 0, 3, 7, 15
25, 0, 3, 8, 14
25, 0, 3, 9, 13
25, 0, 3, 10, 12
25, 0, 4, 5, 16
25, 0, 4, 6, 15
25, 0, 4, 7, 14
25, 0, 4, 8, 13
25, 0, 4, 9, 12
25, 0, 4, 10, 11
25, 0, 5, 6, 14
25, 0, 5, 7, 13
25, 0, 5, 8, 12
25, 0, 5, 9, 11
25, 0, 6, 7, 12
25, 0, 6, 8, 11
25, 0, 6, 9, 10
25, 0, 7, 8, 10
25, 1, 2, 3, 19
25, 1, 2, 4, 18
25, 1, 2, 5, 17
25, 1, 2, 6, 16
25, 1, 2, 7, 15
25, 1, 2, 8, 14
25, 1, 2, 9, 13
25, 1, 2, 10, 12
25, 1, 3, 4, 17
25, 1, 3, 5, 16
25, 1, 3, 6, 15
25, 1, 3, 7, 14
25, 1, 3, 8, 13
25, 1, 3, 9, 12
25, 1, 3, 10, 11
25, 1, 4, 5, 15
25, 1, 4, 6, 14
25, 1, 4, 7, 13
25, 1, 4, 8, 12
25, 1, 4, 9, 11
25, 1, 5, 6, 13
25, 1, 5, 7, 12
25, 1, 5, 8, 11
25, 1, 5, 9, 10
25, 1, 6, 7, 11
25, 1, 6, 8, 10
25, 1, 7, 8, 9
25, 2, 3, 4, 16
25, 2, 3, 5, 15
25, 2, 3, 6, 14
25, 2, 3, 7, 13
25, 2, 3, 8, 12
25, 2, 3, 9, 11
25, 2, 4, 5, 14
25, 2, 4, 6, 13
25, 2, 4, 7, 12
25, 2, 4, 8, 11
25, 2, 4, 9, 10
25, 2, 5, 6, 12
25, 2, 5, 7, 11
25, 2, 5, 8, 10
25, 2, 6, 7, 10
25, 2, 6, 8, 9
25, 3, 4, 5, 13
25, 3, 4, 6, 12
25, 3, 4, 7, 11
25, 3, 4, 8, 10
25, 3, 5, 6, 11
25, 3, 5, 7, 10
25, 3, 5, 8, 9
25, 3, 6, 7, 9
25, 4, 5, 6, 10
25, 4, 5, 7, 9
25, 4, 6, 7, 8
26, 0, 1, 2, 23
26, 0, 1, 3, 22
26, 0, 1, 4, 21
26, 0, 1, 5, 20
26, 0, 1, 6, 19
26, 0, 1, 7, 18
26, 0, 1, 8, 17
26, 0, 1, 9, 16
26, 0, 1, 10, 15
26, 0, 1, 11, 14
26, 0, 1, 12, 13
26, 0, 2, 3, 21
26, 0, 2, 4, 20
26, 0, 2, 5, 19
26, 0, 2, 6, 18
26, 0, 2, 7, 17
26, 0, 2, 8, 16
26, 0, 2, 9, 15
26, 0, 2, 10, 14
26, 0, 2, 11, 13
26, 0, 3, 4, 19
26, 0, 3, 5, 18
26, 0, 3, 6, 17
26, 0, 3, 7, 16
26, 0, 3, 8, 15
26, 0, 3, 9, 14
26, 0, 3, 10, 13
26, 0, 3, 11, 12
26, 0, 4, 5, 17
26, 0, 4, 6, 16
26, 0, 4, 7, 15
26, 0, 4, 8, 14
26, 0, 4, 9, 13
26, 0, 4, 10, 12
26, 0, 5, 6, 15
26, 0, 5, 7, 14
26, 0, 5, 8, 13
26, 0, 5, 9, 12
26, 0, 5, 10, 11
26, 0, 6, 7, 13
26, 0, 6, 8, 12
26, 0, 6, 9, 11
26, 0, 7, 8, 11
26, 0, 7, 9, 10
26, 1, 2, 3, 20
26, 1, 2, 4, 19
26, 1, 2, 5, 18
26, 1, 2, 6, 17
26, 1, 2, 7, 16
26, 1, 2, 8, 15
26, 1, 2, 9, 14
26, 1, 2, 10, 13
26, 1, 2, 11, 12
26, 1, 3, 4, 18
26, 1, 3, 5, 17
26, 1, 3, 6, 16
26, 1, 3, 7, 15
26, 1, 3, 8, 14
26, 1, 3, 9, 13
26, 1, 3, 10, 12
26, 1, 4, 5, 16
26, 1, 4, 6, 15
26, 1, 4, 7, 14
26, 1, 4, 8, 13
26, 1, 4, 9, 12
26, 1, 4, 10, 11
26, 1, 5, 6, 14
26, 1, 5, 7, 13
26, 1, 5, 8, 12
26, 1, 5, 9, 11
26, 1, 6, 7, 12
26, 1, 6, 8, 11
26, 1, 6, 9, 10
26, 1, 7, 8, 10
26, 2, 3, 4, 17
26, 2, 3, 5, 16
26, 2, 3, 6, 15
26, 2, 3, 7, 14
26, 2, 3, 8, 13
26, 2, 3, 9, 12
26, 2, 3, 10, 11
26, 2, 4, 5, 15
26, 2, 4, 6, 14
26, 2, 4, 7, 13
26, 2, 4, 8, 12
26, 2, 4, 9, 11
26, 2, 5, 6, 13
26, 2, 5, 7, 12
26, 2, 5, 8, 11
26, 2, 5, 9, 10
26, 2, 6, 7, 11
26, 2, 6, 8, 10
26, 2, 7, 8, 9
26, 3, 4, 5, 14
26, 3, 4, 6, 13
26, 3, 4, 7, 12
26, 3, 4, 8, 11
26, 3, 4, 9, 10
26, 3, 5, 6, 12
26, 3, 5, 7, 11
26, 3, 5, 8, 10
26, 3, 6, 7, 10
26, 3, 6, 8, 9
26, 4, 5, 6, 11
26, 4, 5, 7, 10
26, 4, 5, 8, 9
26, 4, 6, 7, 9
26, 5, 6, 7, 8
27, 0, 1, 2, 24
27, 0, 1, 3, 23
27, 0, 1, 4, 22
27, 0, 1, 5, 21
27, 0, 1, 6, 20
27, 0, 1, 7, 19
27, 0, 1, 8, 18
27, 0, 1, 9, 17
27, 0, 1, 10, 16
27, 0, 1, 11, 15
27, 0, 1, 12, 14
27, 0, 2, 3, 22
27, 0, 2, 4, 21
27, 0, 2, 5, 20
27, 0, 2, 6, 19
27, 0, 2, 7, 18
27, 0, 2, 8, 17
27, 0, 2, 9, 16
27, 0, 2, 10, 15
27, 0, 2, 11, 14
27, 0, 2, 12, 13
27, 0, 3, 4, 20
27, 0, 3, 5, 19
27, 0, 3, 6, 18
27, 0, 3, 7, 17
27, 0, 3, 8, 16
27, 0, 3, 9, 15
27, 0, 3, 10, 14
27, 0, 3, 11, 13
27, 0, 4, 5, 18
27, 0, 4, 6, 17
27, 0, 4, 7, 16
27, 0, 4, 8, 15
27, 0, 4, 9, 14
27, 0, 4, 10, 13
27, 0, 4, 11, 12
27, 0, 5, 6, 16
27, 0, 5, 7, 15
27, 0, 5, 8, 14
27, 0, 5, 9, 13
27, 0, 5, 10, 12
27, 0, 6, 7, 14
27, 0, 6, 8, 13
27, 0, 6, 9, 12
27, 0, 6, 10, 11
27, 0, 7, 8, 12
27, 0, 7, 9, 11
27, 0, 8, 9, 10
27, 1, 2, 3, 21
27, 1, 2, 4, 20
27, 1, 2, 5, 19
27, 1, 2, 6, 18
27, 1, 2, 7, 17
27, 1, 2, 8, 16
