score, v[0], v[1], v[2], v[3], v[4]
4, 0, 1, 2, 3, 4
4, 0, 1, 2, 3, 5
5, 0, 1, 2, 3, 6
5, 0, 1, 2, 3, 7
5, 0, 1, 2, 4, 5
5, 0, 1, 3, 4, 5
6, 0, 1, 2, 3, 8
6, 0, 1, 2, 3, 9
6, 0, 1, 2, 4, 6
6, 0, 1, 2, 4, 7
6, 0, 1, 2, 5, 6
6, 0, 1, 2, 5, 7
6, 0, 1, 3, 4, 6
6, 0, 1, 3, 4, 7
6, 0, 1, 3, 5, 6
6, 0, 1, 3, 5, 7
6, 0, 2, 3, 4, 5
6, 1, 2, 3, 4, 5
7, 0, 1, 2, 3, 10
7, 0, 1, 2, 3, 11
7, 0, 1, 2, 4, 8
7, 0, 1, 2, 4, 9
7, 0, 1, 2, 5, 8
7, 0, 1, 2, 5, 9
7, 0, 1, 2, 6, 7
7, 0, 1, 3, 4, 8
7, 0, 1, 3, 4, 9
7, 0, 1, 3, 5, 8
7, 0, 1, 3, 5, 9
7, 0, 1, 3, 6, 7
7, 0, 1, 4, 5, 6
7, 0, 1, 4, 5, 7
7, 0, 2, 3, 4, 6
7, 0, 2, 3, 4, 7
7, 0, 2, 3, 5, 6
7, 0, 2, 3, 5, 7
7, 1, 2, 3, 4, 6
7, 1, 2, 3, 4, 7
7, 1, 2, 3, 5, 6
7, 1, 2, 3, 5, 7
8, 0, 1, 2, 3, 12
8, 0, 1, 2, 3, 13
8, 0, 1, 2, 4, 10
8, 0, 1, 2, 4, 11
8, 0, 1, 2, 5, 10
8, 0, 1, 2, 5, 11
8, 0, 1, 2, 6, 8
8, 0, 1, 2, 6, 9
8, 0, 1, 2, 7, 8
8, 0, 1, 2, 7, 9
8, 0, 1, 3, 4, 10
8, 0, 1, 3, 4, 11
8, 0, 1, 3, 5, 10
8, 0, 1, 3, 5, 11
8, 0, 1, 3, 6, 8
8, 0, 1, 3, 6, 9
8, 0, 1, 3, 7, 8
8, 0, 1, 3, 7, 9
8, 0, 1, 4, 5, 8
8, 0, 1, 4, 5, 9
8, 0, 1, 4, 6, 7
8, 0, 1, 5, 6, 7
8, 0, 2, 3, 4, 8
8, 0, 2, 3, 4, 9
8, 0, 2, 3, 5, 8
8, 0, 2, 3, 5, 9
8, 0, 2, 3, 6, 7
8, 0, 2, 4, 5, 6
8, 0, 2, 4, 5, 7
8, 0, 3, 4, 5, 6
8, 0, 3, 4, 5, 7
8, 1, 2, 3, 4, 8
8, 1, 2, 3, 4, 9
8, 1, 2, 3, 5, 8
8, 1, 2, 3, 5, 9
8, 1, 2, 3, 6, 7
8, 1, 2, 4, 5, 6
8, 1, 2, 4, 5, 7
8, 1, 3, 4, 5, 6
8, 1, 3, 4, 5, 7
9, 0, 1, 2, 3, 14
9, 0, 1, 2, 3, 15
9, 0, 1, 2, 4, 12
9, 0, 1, 2, 4, 13
9, 0, 1, 2, 5, 12
9, 0, 1, 2, 5, 13
9, 0, 1, 2, 6, 10
9, 0, 1, 2, 6, 11
9, 0, 1, 2, 7, 10
9, 0, 1, 2, 7, 11
9, 0, 1, 2, 8, 9
9, 0, 1, 3, 4, 12
9, 0, 1, 3, 4, 13
9, 0, 1, 3, 5, 12
9, 0, 1, 3, 5, 13
9, 0, 1, 3, 6, 10
9, 0, 1, 3, 6, 11
9, 0, 1, 3, 7, 10
9, 0, 1, 3, 7, 11
9, 0, 1, 3, 8, 9
9, 0, 1, 4, 5, 10
9, 0, 1, 4, 5, 11
9, 0, 1, 4, 6, 8
9, 0, 1, 4, 6, 9
9, 0, 1, 4, 7, 8
9, 0, 1, 4, 7, 9
9, 0, 1, 5, 6, 8
9, 0, 1, 5, 6, 9
9, 0, 1, 5, 7, 8
9, 0, 1, 5, 7, 9
9, 0, 2, 3, 4, 10
9, 0, 2, 3, 4, 11
9, 0, 2, 3, 5, 10
9, 0, 2, 3, 5, 11
9, 0, 2, 3, 6, 8
9, 0, 2, 3, 6, 9
9, 0, 2, 3, 7, 8
9, 0, 2, 3, 7, 9
9, 0, 2, 4, 5, 8
9, 0, 2, 4, 5, 9
9, 0, 2, 4, 6, 7
9, 0, 2, 5, 6, 7
9, 0, 3, 4, 5, 8
9, 0, 3, 4, 5, 9
9, 0, 3, 4, 6, 7
9, 0, 3, 5, 6, 7
9, 1, 2, 3, 4, 10
9, 1, 2, 3, 4, 11
9, 1, 2, 3, 5, 10
9, 1, 2, 3, 5, 11
9, 1, 2, 3, 6, 8
9, 1, 2, 3, 6, 9
9, 1, 2, 3, 7, 8
9, 1, 2, 3, 7, 9
9, 1, 2, 4, 5, 8
9, 1, 2, 4, 5, 9
9, 1, 2, 4, 6, 7
9, 1, 2, 5, 6, 7
9, 1, 3, 4, 5, 8
9, 1, 3, 4, 5, 9
9, 1, 3, 4, 6, 7
9, 1, 3, 5, 6, 7
9, 2, 3, 4, 5, 6
9, 2, 3, 4, 5, 7
10, 0, 1, 2, 3, 16
10, 0, 1, 2, 3, 17
10, 0, 1, 2, 4, 14
10, 0, 1, 2, 4, 15
10, 0, 1, 2, 5, 14
10, 0, 1, 2, 5, 15
10, 0, 1, 2, 6, 12
10, 0, 1, 2, 6, 13
10, 0, 1, 2, 7, 12
10, 0, 1, 2, 7, 13
10, 0, 1, 2, 8, 10
10, 0, 1, 2, 8, 11
10, 0, 1, 2, 9, 10
10, 0, 1, 2, 9, 11
10, 0, 1, 3, 4, 14
10, 0, 1, 3, 4, 15
10, 0, 1, 3, 5, 14
10, 0, 1, 3, 5, 15
10, 0, 1, 3, 6, 12
10, 0, 1, 3, 6, 13
10, 0, 1, 3, 7, 12
10, 0, 1, 3, 7, 13
10, 0, 1, 3, 8, 10
10, 0, 1, 3, 8, 11
10, 0, 1, 3, 9, 10
10, 0, 1, 3, 9, 11
10, 0, 1, 4, 5, 12
10, 0, 1, 4, 5, 13
10, 0, 1, 4, 6, 10
10, 0, 1, 4, 6, 11
10, 0, 1, 4, 7, 10
10, 0, 1, 4, 7, 11
10, 0, 1, 4, 8, 9
10, 0, 1, 5, 6, 10
10, 0, 1, 5, 6, 11
10, 0, 1, 5, 7, 10
10, 0, 1, 5, 7, 11
10, 0, 1, 5, 8, 9
10, 0, 1, 6, 7, 8
10, 0, 1, 6, 7, 9
10, 0, 2, 3, 4, 12
10, 0, 2, 3, 4, 13
10, 0, 2, 3, 5, 12
